[2020-11-27T03:16:25.310556+00:00] log.DEBUG: SELECT `Per_Academic_id` AS `lf`, `Per_Academic_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_academic` [] []
[2020-11-27T03:16:25.406221+00:00] log.DEBUG: SELECT `Per_Nationality_id` AS `lf`, `Per_Nationality_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_nationality` [] []
[2020-11-27T03:16:25.514822+00:00] log.DEBUG: SELECT `Per_WorkStatus_id` AS `lf`, `Per_WorkStatus_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_workstatus` [] []
[2020-11-27T03:16:25.616305+00:00] log.DEBUG: SELECT `Per_Religion_id` AS `lf`, `Per_Religion_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_religion` [] []
[2020-11-27T03:16:30.827013+00:00] log.DEBUG: SELECT `Per_Id` AS `lf`, `Per_Id` AS `df`, `Per_ThaiName` AS `df2`, `Per_ThaiLastName` AS `df3`, '' AS `df4` FROM `01-personnel` [] []
[2020-11-27T03:47:47.205480+00:00] log.DEBUG: SELECT `Per_Type_id` AS `lf`, `Per_Type_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_type` [] []
[2020-11-27T03:47:47.345287+00:00] log.DEBUG: SELECT `Per_Academic_id` AS `lf`, `Per_Academic_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_academic` [] []
[2020-11-27T03:47:47.503743+00:00] log.DEBUG: SELECT `Per_Position_id` AS `lf`, `Per_Position_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_position` [] []
[2020-11-27T03:47:47.681244+00:00] log.DEBUG: SELECT `Per_EmployeeType_id` AS `lf`, `Per_EmployeeType_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_employeetype` [] []
[2020-11-27T03:47:47.797309+00:00] log.DEBUG: SELECT `Per_Administrative_id` AS `lf`, `Per_Administrative_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_administrative` [] []
[2020-11-27T03:47:47.866401+00:00] log.DEBUG: SELECT `Per_WorkStatus_id` AS `lf`, `Per_WorkStatus_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_workstatus` [] []
[2020-11-27T03:47:47.933371+00:00] log.DEBUG: SELECT `Per_Nationality_id` AS `lf`, `Per_Nationality_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_nationality` [] []
